# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.maxNativeBytes,1705909209249000000,1705909269227000000,-1
AWTEventQueue.dispatchTimeAvgNs,1705909209249000000,1705909269227000000,0.0
AWTEventQueue.dispatchTime90PNs,1705909209249000000,1705909269227000000,0
NonBlockingReadAction.failedExecutionTimeUs,1705909209249000000,1705909269227000000,0
ReadAction.executionsCount,1705909209249000000,1705909269227000000,30
FlushQueue.executionTimeAvgNs,1705909209249000000,1705909269227000000,0.0
FlushQueue.waitingTimeMaxNs,1705909209249000000,1705909269227000000,0
FlushQueue.tasksExecuted,1705909209249000000,1705909269227000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1705909209249000000,1705909269227000000,207
AWTEventQueue.dispatchTimeTotalNS,1705909209249000000,1705909269227000000,46888500
AWTEventQueue.dispatchTimeMaxNs,1705909209249000000,1705909269227000000,0
FlushQueue.queueSizeMax,1705909209249000000,1705909269227000000,0
NonBlockingReadAction.failedExecutionsCount,1705909209249000000,1705909269227000000,0
FlushQueue.waitingTime90PNs,1705909209249000000,1705909269227000000,0
WriteAction.executionsCount,1705909209249000000,1705909269227000000,0
FlushQueue.queueSizeAvg,1705909209249000000,1705909269227000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1705909209249000000,1705909269227000000,15
FlushQueue.queueSize90P,1705909209249000000,1705909269227000000,0
FlushQueue.waitingTimeAvgNs,1705909209249000000,1705909269227000000,0.0
FlushQueue.executionTimeMaxNs,1705909209249000000,1705909269227000000,0
FlushQueue.executionTime90PNs,1705909209249000000,1705909269227000000,0
AWTEventQueue.eventsDispatched,1705909209249000000,1705909269227000000,0
jps.artifact.entities.serializer.load.entities.ms,1705909209249000000,1705909269227000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1705909209249000000,1705909269227000000,2
jps.reload.project.entities.ms,1705909209249000000,1705909269227000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1705909209249000000,1705909269227000000,3
jps.storage.jps.conf.reader.load.component.ms,1705909209249000000,1705909269227000000,18
jps.facet.change.listener.process.change.events.ms,1705909209249000000,1705909269227000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1705909209249000000,1705909269227000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1705909209249000000,1705909269227000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1705909209249000000,1705909269227000000,28
workspaceModel.mutableEntityStorage.entities.ms,1705909209249000000,1705909269227000000,2
jps.project.serializers.load.ms,1705909209249000000,1705909269227000000,138
jps.save.changed.project.entities.ms,1705909209249000000,1705909269227000000,1
